code,category,eps,dps,nta,revenue,profit_loss,quarter,quarter_date,financial_year,announced_date,roe
5250,Retailers,0.9900,0.000,0.3378,744.0m,10.9m,3,2024-09-30,"31 Dec, 2024",2024-11-21,2.9
5250,Retailers,1.8500,0.000,0.3279,751.8m,20.5m,2,2024-06-30,"31 Dec, 2024",2024-08-22,5.6
5250,Retailers,1.1600,0.000,0.3364,684.2m,12.8m,1,2024-03-31,"31 Dec, 2024",2024-05-29,3.4
5250,Retailers,19.9300,0.000,0.3247,694.5m,221.1m,4,2023-12-31,"31 Dec, 2023",2024-02-29,61.4
5250,Retailers,1.3000,0.000,0.1115,705.3m,14.4m,3,2023-09-30,"31 Dec, 2023",2023-11-24,11.7
5250,Retailers,2.2800,0.000,0.1038,1.1b,25.4m,2,2023-06-30,"31 Dec, 2023",2023-08-24,22.0
5250,Retailers,1.4100,0.000,0.1349,976.9m,15.7m,1,2023-03-31,"31 Dec, 2023",2023-05-25,10.5
5250,Retailers,0.2400,0.000,0.1216,992.4m,2.7m,4,2022-12-31,"31 Dec, 2022",2023-02-28,2.0
5250,Retailers,1.2100,0.000,0.1106,988.2m,13.7m,3,2022-09-30,"31 Dec, 2022",2022-11-29,10.9
5250,Retailers,2.2900,0.000,0.0984,943.7m,25.8m,2,2022-06-30,"31 Dec, 2022",2022-08-25,23.3
5250,Retailers,2.1600,0.000,0.1015,840.0m,24.4m,1,2022-03-31,"31 Dec, 2022",2022-05-26,21.3
5250,Retailers,2.6000,0.000,0.0799,795.1m,29.2m,4,2021-12-31,"31 Dec, 2021",2022-02-24,32.5
5250,Retailers,0.1300,0.000,0.0522,680.2m,1.4m,3,2021-09-30,"31 Dec, 2021",2021-11-25,2.5
5250,Retailers,0.1000,0.000,0.0509,676.7m,1.1m,2,2021-06-30,"31 Dec, 2021",2021-08-26,2.0
5250,Retailers,1.0300,0.000,0.0687,657.1m,11.7m,1,2021-03-31,"31 Dec, 2021",2021-05-27,15.0
5250,Retailers,0.3900,0.000,0.0591,591.4m,4.4m,4,2020-12-31,"31 Dec, 2020",2021-02-26,6.6
5250,Retailers,1.1300,0.000,0.0743,677.1m,12.9m,3,2020-09-30,"31 Dec, 2020",2020-11-25,15.2
5250,Retailers,0.0900,0.000,0.0720,649.7m,1.0m,2,2020-06-30,"31 Dec, 2020",2020-08-26,1.3
5250,Retailers,0.9900,0.000,0.0985,619.3m,11.4m,1,2020-03-31,"31 Dec, 2020",2020-05-28,10.1
5250,Retailers,0.9900,0.000,0.0893,592.7m,11.3m,4,2019-12-31,"31 Dec, 2019",2020-02-27,11.1
5250,Retailers,1.4800,0.000,0.0792,594.2m,17.0m,3,2019-09-30,"31 Dec, 2019",2019-11-25,18.7
5250,Retailers,1.2800,0.000,0.0648,588.8m,14.6m,2,2019-06-30,"31 Dec, 2019",2019-08-27,19.8
5250,Retailers,0.9900,0.000,0.0765,583.7m,11.1m,1,2019-03-31,"31 Dec, 2019",2019-05-29,12.9
5250,Retailers,1.1100,0.000,0.0822,554.3m,12.5m,4,2018-12-31,"31 Dec, 2018",2019-02-26,13.5
5250,Retailers,1.4800,0.000,0.0739,568.5m,16.8m,3,2018-09-30,"31 Dec, 2018",2018-11-30,20.0
5250,Retailers,1.1700,0.000,0.0592,557.6m,13.1m,2,2018-06-30,"31 Dec, 2018",2018-08-29,19.8
5250,Retailers,0.8000,0.000,0.0747,535.7m,8.9m,1,2018-03-31,"31 Dec, 2018",2018-05-24,10.7
5250,Retailers,1.4300,0.000,0.0667,546.2m,15.9m,4,2017-12-31,"31 Dec, 2017",2018-02-28,21.4
5250,Retailers,1.4500,0.000,0.0475,563.1m,16.1m,3,2017-09-30,"31 Dec, 2017",2017-11-29,30.5
