code,name,category,revenue_yoy_growth,profit_loss_yoy_growth,roe,eps,composite_score
6084,STAR MEDIA GROUP BERHAD,Media,8.561020036429866,4364.285714285715,0.4,0.35,1312.0040202966434
5243,VELESTO ENERGY BERHAD,"Energy, Infrastructure, Equipment & Services",21.8533886583679,3475.0,1.9,0.52,1049.5400165975104
8206,ECO WORLD DEVELOPMENT GROUP BERHAD,Property,-24.393132030787445,2427.2727272727275,1.7,2.83,721.7698785725821
3611,PARAGON GLOBE BERHAD,Property,257.3099415204678,2092.7710843373493,2.9,1.22,705.8483077573452
5238,AirAsia X Berhad,"Travel, Leisure & Hospitality",22.60950030845157,2071.4285714285716,37.0,27.2,641.0514215211069
0041,HONG SENG CONSOLIDATED BERHAD,Software,2069.811320754717,-200.0,-0.5,-0.03,560.8373962264151
2097,META BRIGHT GROUP BERHAD,"Travel, Leisure & Hospitality",464.4230769230769,1059.0296495956875,1.5,0.17,457.36981795562934
2569,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,Plantation,5.785123966942152,1286.6666666666667,3.0,31.4,394.61553719008265
7579,AWC BERHAD,Industrial Services,6.3063063063063085,1227.62312633833,3.0,1.92,371.16282979339087
7211,TAFI INDUSTRIES BERHAD,Houshold Goods,82.99319727891157,1084.8341232227488,2.9,0.66,351.0601961504981
0270,NATIONGATE HOLDINGS BERHAD,"Industrial Materials, Components & Equipment",745.4106280193237,169.364161849711,5.1,2.05,275.8624369607104
2453,KLUANG RUBBER COMPANY (MALAYA) BERHAD,Plantation,8.629441624365475,716.6666666666666,1.9,23.61,222.69083248730962
5020,GLOMAC BERHAD,Property,1.0752688172043,728.1573498964804,0.3,0.52,218.9337856141054
3743,SUNSURIA BERHAD,Property,-13.283922462941844,733.3333333333334,1.0,1.11,216.43682326111744
6815,EUPE CORPORATION BERHAD,Property,137.55760368663596,572.7272727272727,2.9,10.08,215.6814629241726
5115,ALAM MARITIM RESOURCES BERHAD,"Energy, Infrastructure, Equipment & Services",553.8720538720539,185.18518518518516,-50.0,0.5,211.8171717171717
0198,GDB HOLDINGS BERHAD,Construction,-9.999999999999998,685.7142857142857,5.9,1.18,204.1302857142857
5025,AURO HOLDINGS BERHAD,Wood & Wood Products,636.0,-16.666666666666675,-5.2,-0.23,184.714
6718,CRESCENDO CORPORATION BERHAD,Property,127.11198428290764,472.22222222222223,7.3,12.28,183.71626195153894
5113,RIMBUNAN SAWIT BERHAD,Plantation,3.963198867657458,554.0000000000001,8.4,1.6,169.38895966029725
5070,PROTASCO BERHAD,Construction,40.1491609695463,509.6774193548387,6.2,3.93,166.9739740973155
4456,DAGANG NEXCHANGE BERHAD,Digital Services,420.7920792079208,133.33333333333334,0.5,0.26,166.38962376237623
7094,EUROSPAN HOLDINGS BERHAD,Houshold Goods,-17.14285714285714,468.29268292682934,48.0,52.54,155.45294773519166
7005,B.I.G. INDUSTRIES BERHAD,Diversified Industrials,46.808510638297875,449.0196078431373,5.9,4.46,150.82043554443055
5111,TOWER REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,9.8901098901099,450.2392344497608,0.4,0.48,138.2148033019612
5259,E.A.TECHNIQUE (M) BERHAD,Transportation & Logistics Services,-0.3154574132492094,441.1764705882353,10.4,2.08,134.75430395249583
7048,ATLAN HOLDINGS BHD,Retailers,14.32926829268293,406.7796610169491,6.9,11.8,130.0726787928896
5145,SEALINK INTERNATIONAL BERHAD,Transportation Equipment,31.353135313531343,386.9565217391305,4.7,2.25,126.88289711579854
5165,DFCITY GROUP BERHAD,Building Materials,48.64864864864864,368.0851063829787,1.8,1.0,125.58012650948821
0259,SNS NETWORK TECHNOLOGY BERHAD,Technology Equipment,-5.165210786175467,409.99999999999994,3.9,0.63,122.35643676414733
0032,REDTONE INTERNATIONAL BERHAD,Telecommunications Service Providers,81.70289855072464,307.40740740740745,3.9,1.42,117.79709178743963
7121,XL HOLDINGS BERHAD,Consumer Services,174.50980392156862,193.47826086956525,1.3,0.75,110.80641943734017
5242,SOLID AUTOMOTIVE BERHAD,Automotive,3.3573141486810565,361.5384615384615,0.5,0.24,109.61673270614276
7172,PMB TECHNOLOGY BERHAD,Metals,-29.28884395011796,393.75,0.8,0.49,109.5963468149646
0064,EFFICIENT E-SOLUTIONS BERHAD,Industrial Services,125.5813953488372,238.88888888888889,0.2,0.03,109.38708527131782
7241,NEXTGREEN GLOBAL BERHAD,Industrial Services,42.24137931034482,313.6363636363637,2.2,0.9,107.38332288401256
7773,EP MANUFACTURING BHD,Auto Parts,-11.742424242424242,365.686274509804,0.6,0.86,106.47515508021392
5049,COUNTRY VIEW BERHAD,Property,49.11032028469751,281.25,1.4,6.07,100.60209608540924
8117,PGF CAPITAL BERHAD,Building Materials,115.73033707865169,210.0,2.5,3.41,98.90110112359551
6904,SUBUR TIASA HOLDINGS BERHAD,Wood & Wood Products,-12.928348909657316,336.3636363636363,0.7,2.53,97.6765862361937
5275,MYNEWS HOLDINGS BERHAD,Retailers,11.922663802363044,301.26715945089757,1.6,0.5,94.37694697597817
5178,INGENIEUR GUDANG BERHAD,Metals,270.0,33.02752293577982,7.7,0.95,92.63825688073395
3034,HAP SENG CONSOLIDATED BERHAD,Diversified Industrials,0.0,283.89662027833,2.4,7.76,87.200986083499
7047,FAJARBARU BUILDER GROUP BHD,Construction,86.84931506849315,200.0,2.0,1.14,86.68279452054794
8346,PERAK CORPORATION BERHAD,Transportation & Logistics Services,-6.852791878172592,295.65217391304344,0.1,0.09,86.67781461046125
6971,KOBAY TECHNOLOGY BERHAD,"Industrial Materials, Components & Equipment",27.472527472527464,253.33333333333331,1.4,1.66,84.85375824175821
5036,EDARAN BERHAD,Technology Equipment,52.45098039215685,221.03321033210332,2.7,1.5,82.88525721727805
8907,EG INDUSTRIES BERHAD,"Industrial Materials, Components & Equipment",30.280877260484807,231.4814814814815,6.3,7.65,81.31870762258988
8648,JASA KITA BERHAD,"Industrial Materials, Components & Equipment",29.166666666666675,238.73343151693663,2.6,0.51,80.99202945508098
5073,NAIM HOLDINGS BERHAD,Property,-43.57894736842105,303.7383177570093,3.2,8.64,80.41581111657648
7108,PERDANA PETROLEUM BERHAD,"Energy, Infrastructure, Equipment & Services",22.521655437921083,232.4561403508772,11.4,3.41,79.45533873663949
7285,TOMYPAK HOLDINGS BERHAD,Packaging Materials,286.98630136986304,-20.98765432098766,-5.6,-1.51,78.37759411466261
4723,JAKS RESOURCES BERHAD,Construction,40.99999999999999,216.90140845070425,1.5,0.91,77.85242253521128
7200,TEK SENG HOLDINGS BERHAD,Houshold Goods,19.931271477663227,238.2663847780127,0.6,0.43,77.66529687670277
3557,ECOFIRST CONSOLIDATED BHD,Property,384.55882352941177,-127.82352941176472,0.2,0.08,77.07658823529411
5152,MUAR BAN LEE GROUP BERHAD,"Industrial Materials, Components & Equipment",22.7882037533512,212.24489795918367,6.0,6.74,73.05793051376045
7195,BINASTRA CORPORATION BERHAD,Construction,117.9508196721311,116.07142857142856,9.5,2.23,72.5526744730679
5255,ICON OFFSHORE BERHAD,"Energy, Infrastructure, Equipment & Services",20.68376068376068,212.9032258064516,4.9,3.31,71.71809594706369
4995,VERSATILE CREATIVE BERHAD,Retailers,47.2,183.91167192429023,2.1,0.65,69.88350157728706
0225,SOUTHERN CABLE GROUP BERHAD,"Industrial Materials, Components & Equipment",40.15345268542199,186.15384615384616,5.0,2.15,69.32218965178045
4715,GENTING MALAYSIA BERHAD,"Travel, Leisure & Hospitality",0.0,220.8568207440812,4.9,10.04,69.24504622322436
0113,MMS VENTURES BERHAD,Technology Equipment,280.7692307692308,-57.285714285714285,-1.4,-0.45,66.67505494505494
5273,CHIN HIN GROUP BERHAD,Building Materials,80.60558084306354,138.79310344827584,1.9,0.78,66.35560528740181
7055,PLB ENGINEERING BERHAD,Property,247.24409448818895,-10.83333333333334,-16.2,-11.82,65.31922834645668
5149,TAS OFFSHORE BERHAD,Transportation Equipment,91.90140845070422,108.8888888888889,8.1,5.26,62.90908920187793
5102,GUAN CHONG BERHAD,Food & Beverages,130.76923076923077,68.73156342182891,3.0,4.87,61.4242382573179
2224,SELANGOR DREDGING BERHAD,Property,142.37623762376236,59.036144578313234,1.5,3.11,61.345714660622676
5222,FGV HOLDINGS BERHAD,Plantation,26.530612244897966,172.5,1.5,2.39,60.48718367346939
5148,UEM SUNRISE BERHAD,Property,18.213828425096025,177.10843373493975,0.3,0.45,58.746678648010736
5207,SBC CORPORATION BERHAD,Property,272.22222222222223,-79.13793103448276,-0.1,-0.23,57.85928735632184
5029,FAR EAST HOLDINGS BERHAD,Plantation,75.92205984690328,104.44444444444449,4.4,10.85,57.15995128740433
7132,SMIS CORPORATION BERHAD,Auto Parts,-2.2167487684729092,178.65168539325845,1.3,2.35,53.660480987435655
4251,I-BERHAD,Property,38.16964285714286,134.54545454545453,1.0,0.7,52.154529220779224
7115,SKB SHUTTERS CORPORATION BERHAD,Building Materials,44.93927125506072,122.22222222222224,4.3,4.39,51.886448043184885
1961,IOI CORPORATION BERHAD,Plantation,22.72727272727273,133.7828947368421,6.0,11.46,50.445050239234455
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,6.214689265536721,158.33333333333334,0.4,0.54,49.55240677966101
2593,UNITED MALACCA BERHAD,Plantation,26.920415224913484,125.54744525547444,2.1,14.74,49.10835814411638
5576,MINHO (M) BERHAD,Wood & Wood Products,-2.3012552301255207,164.1509433962264,0.3,0.39,48.692906449830275
8524,TALIWORKS CORPORATION BERHAD,"Gas, Water & Multi-Utilities",74.20066152149944,80.0,3.5,1.2,47.20019845644983
0253,INFOLINE TEC GROUP BERHAD,Digital Services,87.11656441717793,53.846153846153854,13.0,2.21,45.33081547899954
5211,SUNWAY BERHAD,Diversified Industrials,33.33333333333333,108.59678313921242,2.4,5.28,44.11503494176372
6203,KHEE SAN BERHAD,Food & Beverages,-5.600000000000005,151.76151761517613,-1.2,0.68,43.74445528455284
5292,UWC BERHAD,Semiconductors,96.48351648351648,47.72727272727273,1.5,0.59,43.68123676323676
6459,MNRB HOLDINGS BERHAD,Insurance,4.180923866552599,122.83653846153844,2.8,11.84,41.03323869842732
0200,REVENUE GROUP BERHAD,Digital Services,236.49122807017545,-100.88339222614842,0.0,0.0,40.682350753208105
9687,IDEAL CAPITAL BERHAD,Property,41.951566951566946,86.62420382165605,4.1,5.86,40.564731231966896
5308,SENG FONG HOLDINGS BERHAD,Industrial Services,64.03828623518689,65.0602409638554,5.9,1.9,40.28955815971268
5306,FARM FRESH BERHAD,Food & Beverages,25.668179525970757,104.6875,3.9,1.4,40.16670385779123
7184,G3 GLOBAL BERHAD,Personal Goods,262.962962962963,-129.54166666666666,-1.0,-0.02,39.8223888888889
7246,SIGNATURE INTERNATIONAL BERHAD,Houshold Goods,22.131593257204997,100.70921985815602,7.8,4.5,39.312243934608304
7471,EDEN INC. BERHAD,Electricity,-12.5,140.0,1.4,0.94,38.718
7079,TWL HOLDINGS BERHAD,Property,105.31914893617022,21.42857142857142,0.8,0.06,38.19631610942249
5132,DELEUM BERHAD,"Energy, Infrastructure, Equipment & Services",11.331679073614565,105.7377049180328,5.7,6.24,37.50881519749421
5141,DAYANG ENTERPRISE HOLDINGS BERHAD,"Energy, Infrastructure, Equipment & Services",30.45375218150088,76.57068062827226,7.5,11.66,35.93932984293194
4057,ASIAN PAC HOLDINGS BERHAD,Property,22.93577981651376,95.2380952380952,0.4,0.28,35.58816251638268
5062,HUA YANG BERHAD,Property,-47.359154929577464,161.6822429906542,0.3,0.31,34.41892641832302
5347,TENAGA NASIONAL BHD,Electricity,6.666666666666665,86.8722261153936,2.7,27.33,34.06766783461808
4359,TURIYA BERHAD,Semiconductors,-2.6666666666666616,113.90374331550804,1.2,0.72,33.75512299465241
8664,S P SETIA BERHAD,Property,18.181818181818187,93.05019305019304,0.4,1.16,33.681603369603366
1368,UEM EDGENTA BERHAD,Industrial Services,9.998613229787834,100.0,0.7,1.23,33.38558396893635
2658,AJINOMOTO (MALAYSIA) BERHAD,Food & Beverages,11.557177615571778,75.96153846153845,2.3,30.08,32.73161482313307
5310,KUMPULAN KITACON BERHAD,Construction,13.007759014148789,90.54054054054056,4.4,2.83,32.51048986640681
5681,PETRONAS DAGANGAN BHD,Retailers,-2.020202020202022,81.42934488359501,5.6,33.7,31.6827428590179
3301,HONG LEONG INDUSTRIES BERHAD,Automotive,11.221437971049175,60.31927023945267,6.4,44.66,31.674212463150553
7070,VIZIONE HOLDINGS BERHAD,Construction,22.558459422283363,81.66666666666667,0.0,0.01,31.269537826685006
